train_guid,influence,test_guid
0,-2.868816614151001,812
1,-0.13456952571868896,812
2,-0.02003728598356247,812
3,0.6799864768981934,812
4,1.6000375747680664,812
5,0.5064949989318848,812
6,-0.1790921688079834,812
7,-1.2179830074310303,812
8,0.5596309900283813,812
9,-5.400892734527588,812
10,-0.4818838834762573,812
11,0.33171355724334717,812
12,0.13376343250274658,812
13,0.4131978452205658,812
14,1.1281057596206665,812
15,-0.3664042353630066,812
16,2.918087959289551,812
17,-0.051713451743125916,812
18,2.9902467727661133,812
19,-1.1324235200881958,812
20,0.03868529200553894,812
21,-7.626067161560059,812
22,-0.0730176717042923,812
23,-0.11873599141836166,812
24,0.058749161660671234,812
25,-0.08389942348003387,812
26,0.11908748000860214,812
27,-1.0421181917190552,812
28,-0.15350115299224854,812
29,0.5999557375907898,812
30,1.686417579650879,812
31,-0.5188578367233276,812
32,1.5002810955047607,812
33,1.523224115371704,812
34,-1.6696150302886963,812
35,-1.8143304586410522,812
36,-0.8266569972038269,812
37,-0.12303434312343597,812
38,0.9143275022506714,812
39,-2.59553861618042,812
40,2.1361162662506104,812
41,-0.4976341128349304,812
42,0.8078391551971436,812
43,-0.3686957061290741,812
44,4.110134601593018,812
45,-0.2783411741256714,812
46,0.054513588547706604,812
47,6.7222185134887695,812
48,-0.8275713920593262,812
49,0.3140408992767334,812
50,1.6275389194488525,812
51,-3.1878085136413574,812
52,0.4101276993751526,812
53,0.0663507729768753,812
54,0.43257641792297363,812
55,-0.12367385625839233,812
56,0.13677728176116943,812
57,0.12300726771354675,812
58,0.46441295742988586,812
59,1.3437044620513916,812
60,-1.3775300979614258,812
61,0.3028693199157715,812
62,2.200631618499756,812
63,2.5311992168426514,812
64,4.174110412597656,812
65,-2.3875203132629395,812
66,1.1312999725341797,812
67,0.5754040479660034,812
68,1.752218246459961,812
69,-0.018287841230630875,812
70,1.738326072692871,812
71,0.2436581701040268,812
72,-0.0419858917593956,812
73,2.6200356483459473,812
74,5.803226470947266,812
75,-0.020289748907089233,812
76,0.08261410892009735,812
77,-0.30864059925079346,812
78,1.3706085681915283,812
79,-0.3945541977882385,812
80,-0.1503615528345108,812
81,0.3694794774055481,812
82,-0.28094956278800964,812
83,-0.2990030348300934,812
84,-0.3119088113307953,812
85,4.037769317626953,812
86,-0.8784700036048889,812
87,-0.1731426864862442,812
88,0.09489410370588303,812
89,-2.1507225036621094,812
90,3.6947576999664307,812
